ImageNumber,ObjectNumber,Metadata_cell,Metadata_hour,Metadata_site,Metadata_treatment,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Texture_AngularSecondMoment_BF1_5_00_256,Texture_AngularSecondMoment_BF1_5_01_256,Texture_AngularSecondMoment_BF1_5_02_256,Texture_AngularSecondMoment_BF1_5_03_256,Texture_Contrast_BF1_5_00_256,Texture_Contrast_BF1_5_01_256,Texture_Contrast_BF1_5_02_256,Texture_Contrast_BF1_5_03_256,Texture_Correlation_BF1_5_00_256,Texture_Correlation_BF1_5_01_256,Texture_Correlation_BF1_5_02_256,Texture_Correlation_BF1_5_03_256,Texture_DifferenceEntropy_BF1_5_00_256,Texture_DifferenceEntropy_BF1_5_01_256,Texture_DifferenceEntropy_BF1_5_02_256,Texture_DifferenceEntropy_BF1_5_03_256,Texture_DifferenceVariance_BF1_5_00_256,Texture_DifferenceVariance_BF1_5_01_256,Texture_DifferenceVariance_BF1_5_02_256,Texture_DifferenceVariance_BF1_5_03_256,Texture_Entropy_BF1_5_00_256,Texture_Entropy_BF1_5_01_256,Texture_Entropy_BF1_5_02_256,Texture_Entropy_BF1_5_03_256,Texture_InfoMeas1_BF1_5_00_256,Texture_InfoMeas1_BF1_5_01_256,Texture_InfoMeas1_BF1_5_02_256,Texture_InfoMeas1_BF1_5_03_256,Texture_InfoMeas2_BF1_5_00_256,Texture_InfoMeas2_BF1_5_01_256,Texture_InfoMeas2_BF1_5_02_256,Texture_InfoMeas2_BF1_5_03_256,Texture_InverseDifferenceMoment_BF1_5_00_256,Texture_InverseDifferenceMoment_BF1_5_01_256,Texture_InverseDifferenceMoment_BF1_5_02_256,Texture_InverseDifferenceMoment_BF1_5_03_256,Texture_SumAverage_BF1_5_00_256,Texture_SumAverage_BF1_5_01_256,Texture_SumAverage_BF1_5_02_256,Texture_SumAverage_BF1_5_03_256,Texture_SumEntropy_BF1_5_00_256,Texture_SumEntropy_BF1_5_01_256,Texture_SumEntropy_BF1_5_02_256,Texture_SumEntropy_BF1_5_03_256,Texture_SumVariance_BF1_5_00_256,Texture_SumVariance_BF1_5_01_256,Texture_SumVariance_BF1_5_02_256,Texture_SumVariance_BF1_5_03_256,Texture_Variance_BF1_5_00_256,Texture_Variance_BF1_5_01_256,Texture_Variance_BF1_5_02_256,Texture_Variance_BF1_5_03_256
1,1,MCF7,6,0,A1331852,37339,49842,1229,966,995,753,1106.358499156378,855.4312648972924,1.1820049000754291,37642,0.6863675580713003,218.04011410945978,1,0.7491473054853337,0.8460201814190325,256.14785325851835,260.7623439072444,92.13034245024816,34.49607548973135,30.886890422961002,184.5893012275576,186.28476126958898,-55.55678467,744.7249634685276,0.9919504808458637,0.0739174434792095,0.06639002454772266,0.07469570010588034,0.0688101915525128,1.378976677510062,2.1368678905282126,1.3841964112914373,1.8006619569449853,0.49799149224389216,0.22009951946652284,0.49570709514910993,0.34674503517862726,1.6275979894752632,1.8759492765891013,1.6353443010644328,1.781780345176725,0.01902917403909079,0.015729397591834865,0.018925485748233627,0.016848516682226256,4.311592983267266,4.4740878254514875,4.310870171497966,4.42761288678013,-0.093277759,-0.019906768,-0.09274582,-0.044037523,0.586658187354598,0.29331261105515727,0.585205141059771,0.42515186572611935,0.6193079844531703,0.5493189719713971,0.6225260150657753,0.5777178136298777,20.784887247064013,20.810029282576867,20.786170477480713,20.780803248595426,3.0434497152993725,2.89485657365294,3.0441016964875596,2.9714195018856215,4.114861200552468,3.3429797153267486,4.105456121895543,3.7122298048112725,1.3734594695156375,1.3699619014637108,1.3724131332967175,1.3782229404390023
1,2,MCF7,6,0,A1331852,33990,55216,1341,1084,1103,852,1229.231097381583,972.3310091203296,1.3901828667545184,34374,0.8581282757398956,208.03223818809474,1,0.6155824398725007,0.7193298262512555,292.359222813053,292.9095423505352,75.07329751649384,29.34219355562835,26.870057685088806,152.71904230433395,150.10756095728195,-45.56013973,770.5777772109133,0.988828765927736,0.05164271978084426,0.04547806503395001,0.051288880760211944,0.04711771006242346,2.0957660676210788,3.541782860723798,2.2158273381294964,2.9114455084359325,0.5435763502096317,0.22542096704684003,0.5182990700176847,0.3631617858880034,1.8618692305057007,2.181161237238371,1.902970089547345,2.0667224986668593,0.013178724896525709,0.010320117289288345,0.012709099393340898,0.011239182439616089,4.918663328723052,5.120478881272942,4.94724671175071,5.06699678886987,-0.101734833,-0.020250846,-0.088757018,-0.043411273,0.6401210885378552,0.3153642551112329,0.6069573212073828,0.44873171626857855,0.569495852554615,0.4957366513475806,0.5638026127125734,0.5240105462565683,20.81577825159915,20.84023186589378,20.833739787830755,20.808876728986164,3.408363307948135,3.2343834605645916,3.3792854029585246,3.318456588806513,7.087658448543152,5.603269380673396,6.984185367724308,6.231992947108836,2.295856129041084,2.286263060349313,2.300003176463491,2.2858596138861174
1,3,MCF7,6,0,A1331852,11460,15622,774,1150,667,1004,719.6777486910995,1076.3774869109948,1.1976693209213063,11588,0.772397317492151,120.7945577526776,1,0.7335808475227243,0.8349550101448292,151.67066688423355,154.1557653803451,49.193495504995376,18.669643501242003,16.97056274847714,97.93977741449079,96.33205534621341,-24.69532827,415.30360723121805,0.9889540904383846,0.02462903739938801,0.020000730317261222,0.02395981337285109,0.02141486299248537,3.2465983224603914,5.44677992129763,3.351578947368421,4.787505827505827,0.6552441916040728,0.42109732642415626,0.6431525268360492,0.49557515066687874,2.1365029545447802,2.4401674818011347,2.146182787604641,2.373402350119024,0.010890158677493574,0.008344726324061831,0.010735999141221881,0.008959792980911862,5.863088081714606,6.1261938926290505,5.892057199751146,6.076937541038117,-0.140478412,-0.056683354,-0.12969697,-0.074624567,0.7665770321335093,0.5481740434561878,0.747209572213176,0.6129137192290145,0.5027177655235328,0.406639844746531,0.4857835394082626,0.44410908006537625,19.86039142590867,19.879451002975333,19.82974828375286,19.897062937062937,4.016050098171717,3.9016759969816706,4.005067830581126,3.9475391921451517,15.587592391054102,13.370821620091874,15.432799250140079,14.194532166202123,4.70854767837865,4.70440038534737,4.696094549377136,4.745509498426998
1,4,MCF7,6,0,A1331852,62402,106913,1471,1391,1148,1060,1312.8648440755103,1216.8746835037339,1.4432251939484173,64410,0.8460508266949998,281.8735426934632,1,0.5836708351650407,0.692892560490973,396.58948511711884,407.2959611879303,108.40664186294121,38.557231574577095,34.92849839314596,218.45619703833052,211.4227430086865,38.731007691657716,1063.8275605729689,0.9688247166589039,0.13183301460070784,0.12735699913120652,0.13291159484286408,0.12824169283715986,1.212718323538611,1.64085062991349,1.1748700401395014,1.5387626198995445,0.3862038501045303,0.16200184226316675,0.4037246343873372,0.2160306032464241,1.5770598440563672,1.7365032610241413,1.5555195224173621,1.7011459263507622,0.019199618922804352,0.017320257984122622,0.01955129428224389,0.01779508992091154,3.7738358946826236,3.8429731143568926,3.760867083799253,3.8337703389415876,-0.068668867,-0.027264878,-0.074823911,-0.033807656,0.48514612519175815,0.31745690130792475,0.5034731016242652,0.3514516106171435,0.670330491088931,0.6346714743107855,0.6771278062683488,0.645610128005105,20.150838724546066,20.160899312522616,20.16167664670659,20.15835979102622,2.6552998402636647,2.531087058848731,2.6679512209237446,2.577353742457042,2.738816151694607,2.2752692678790254,2.7658261814200955,2.3868054603638598,0.9878836188082687,0.979029974448224,0.9851740553899475,0.9813920200658259
1,5,MCF7,6,0,A1331852,40320,56852,1159,1369,915,1136,1043.2622767857142,1261.4887152777778,1.1990302355598632,41388,0.37290141539765337,226.57673853183113,1,0.7092098782804475,0.8340073255392679,237.2099042219681,256.25963396524236,102,35.674502296926924,31.622776601683793,213.00124274699598,220.10018359498335,55.3866171279788,779.4356415871823,0.974195418962018,0.04688970224302545,0.04194814707531283,0.04623219955390141,0.04255832421363143,2.327423681185337,3.874567964921331,2.609514066496164,3.4631573490915692,0.5418340709296365,0.23741830554004786,0.48490996179519924,0.31533062830817965,1.9320053138320805,2.2289833882128294,1.9948233261998982,2.161824113175347,0.011501918953170853,0.009230941804241029,0.011062992898995328,0.009737799101271802,5.075322438135811,5.268579660050785,5.120675380847307,5.234363027555625,-0.095928247,-0.022489753,-0.076585043,-0.033071901,0.6327256750087248,0.33605748327512713,0.5786849222385257,0.4017457359930521,0.551519054072096,0.4826357241436689,0.5405386817254968,0.49575906092627675,20.454183165155193,20.454036626257412,20.456061381074164,20.46126532410647,3.4718797360564735,3.3212846871770587,3.444889135380557,3.3613933553892554,7.832317729127681,6.28714452587036,7.522749704672435,6.653133790189429,2.539935352578297,2.5404281226979037,2.5330659427921347,2.5290727848202437
1,6,MCF7,6,0,A1331852,27686,34869,664,1424,487,1227,576.1284764863108,1324.8066170627753,1.1146705445738387,27873,0.41262510057403123,187.75225707175323,1,0.7940004015027675,0.8971260655159057,196.8344014574655,198.4363877921587,88.2779700718135,31.147614869129857,27.459060435491963,176,179.2966417315186,3.4447780143564803,622.7422074112307,0.9932909984572884,0.036185083505668084,0.031801248979350175,0.03575911711344899,0.03126744099625657,2.582000674132055,3.8155317695285813,2.567031080929816,4.0698796095856595,0.5871460623555188,0.39215299371828644,0.5882138981630048,0.34553273997458284,1.9890766044021797,2.227884825686708,1.988157351859268,2.2573290347749655,0.012909062099754414,0.010650978963332412,0.012814037279178571,0.010477104806610474,5.349289151681249,5.536016841669357,5.35594953163627,5.558810822724611,-0.114778338,-0.050609604,-0.110006131,-0.038062894,0.6918566863791649,0.4998255009345612,0.6811201762297184,0.44047056835180814,0.5383689579524501,0.48122415521351714,0.5331657256879099,0.46617953001314894,19.971087225197557,19.980794048432397,19.962949143688665,20.020736014583573,3.6735907163333783,3.5792685389652257,3.6639072645818187,3.5572789705544743,9.926058175268906,8.7387186589429,9.900757751564697,8.367349441192289,3.127014712350231,3.138562607117805,3.1169472081235767,3.109307262694557
2,1,MCF7,6,1,A1331852,54630,84968,1785,516,1538,172,1639.3660442980047,333.74069192751233,1.58921041841087,62102,0.8618440195930367,263.7367557411783,1,0.6429479333396102,0.6292432949187116,391.8902524038349,366.23080154459973,83.09632964216891,32.55600917841761,30.479501308256342,206.24823058556444,198.7563226428408,-18.04722183,1044.5067093990478,0.8796818137902161,0.019627301007331354,0.01653254086682894,0.020565483664857238,0.017525547067283764,3.9500198483960607,6.415857170282203,3.4049160333990054,5.318165388932219,0.7026437501561327,0.5130240927503547,0.7434476748421112,0.6001891038166843,2.2489207432187106,2.552339079659765,2.157314681240407,2.4300593667248847,0.00924584922535745,0.007216569164347247,0.009877810847324092,0.008025210059839622,6.219783775113237,6.473427507028471,6.13948198365174,6.394058070108006,-0.153810373,-0.074360546,-0.176648379,-0.102565094,0.803280618112269,0.627250123003734,0.8340605618900724,0.7064373975588345,0.4650730894037635,0.39872877424122444,0.48183529474985554,0.4218300143827022,19.738417043156083,19.76801689383759,19.695337273665448,19.72849886811117,4.25730066117707,4.17120741243431,4.266779217484649,4.214326269494894,22.617572731010625,19.933935806203294,23.138722043578184,21.285238568792067,6.641898144851723,6.587448244121376,6.635909519244336,6.650850989431007
2,2,MCF7,6,1,A1331852,15600,19684,689,1274,556,1126,622.701217948718,1197.6957692307692,1.1826778138910619,15789,0.48379420474429674,140.93451279891858,1,0.792521845153424,0.8455388172962813,151.6924557435753,157.94302770302968,63.63961030678928,22.684084234033296,20,127.18754656018804,132.75847511253164,2.3999648548934913,481.50461735799473,0.9880296408892266,0.014405815878662943,0.011500249379925791,0.014578264545314036,0.01244031633056664,6.377052489905788,10.840016478989291,6.277669902912621,10.256337834114081,0.7285002186133922,0.5453801567561869,0.7336575101369885,0.5703292181908054,2.54401964546064,2.8710250119855836,2.528569370514485,2.8405466144031806,0.006551091838269523,0.005087366258898545,0.006700571498004031,0.0052350197413355325,6.73879726319671,7.0582580800583905,6.723546875002345,6.980132879858001,-0.160067766,-0.079386624,-0.164900959,-0.102238475,0.8309087421679106,0.6648709617474546,0.837442389389966,0.7270604415470897,0.4150282679818018,0.35343352147919466,0.4190439042777022,0.3800196721212228,19.919851951547777,19.959351826421315,19.87097422162705,19.989322127307798,4.5710408947205075,4.519231657309053,4.575079267383524,4.544023482157806,40.599430933667236,36.84825159854711,40.862160517246366,37.484110287250815,11.744120855893215,11.922067019384102,11.784957605039807,11.935112030341273
2,3,MCF7,6,1,A1331852,20354,26350,822,1309,667,1139,745.182666797681,1224.2033998231307,1.182379272480514,20753,0.5121531656497575,160.98297330320216,1,0.7724478178368122,0.8457523091571958,174.5615558402368,173.4156855650607,70.83078426785913,25.870362968793625,23,143.89702709321494,149.92989648504738,-10.97995288,549.9310242291876,0.9807738640196598,0.017343203636400954,0.012887510525712558,0.015508901956406286,0.013511804635224216,4.532762510254306,8.899211447072954,6.079315628192034,9.409783857157773,0.8130499474066265,0.6378592494363439,0.7503379682552079,0.6182226528831494,2.3194512603413733,2.7053253635440324,2.44328214265201,2.7546177069436584,0.006282476705773377,0.004620684293405626,0.005823703432833652,0.004632021405173006,6.484340828210782,6.880897705615617,6.643446321589831,6.884363316319611,-0.22469727,-0.119660842,-0.183182435,-0.120793656,0.8979400317075309,0.7638452680911842,0.8591078940516352,0.7663568261080711,0.46940913771841447,0.37333532674029557,0.4343435701129055,0.3950838469560207,19.80521944216571,19.80359287691263,19.739479060265577,19.79247154641328,4.588404426732581,4.5339605602242,4.5664081419820395,4.542669302489086,43.95893297071302,40.248593284770436,42.62104610247275,39.88483211846051,12.122923870241834,12.286951182960891,12.175090432666167,12.3236539939046
2,4,MCF7,6,1,A1331852,23510,29722,299,1359,145,1166,222.41008081667377,1261.7839217354317,1.1641561646117193,23860,0.650907474527154,173.014050576026,1,0.7909965681986407,0.8589912851885552,198.92686078594022,199.60210419732553,74.33034373659252,27.572591705445927,24.698178070456937,149.64550848627812,151.01673312885544,-18.29695722,586.4579361637687,0.9853310980720872,0.06741926350679671,0.06378333698784401,0.06911098576297897,0.06378524472384059,1.9454521264801101,2.63698413415902,1.8000791939812575,2.6411725218169613,0.313425470358201,0.07545690318827793,0.3657067705683216,0.07535558608178121,1.8250436841200182,2.0007483833029864,1.7815811443918994,1.992560065456202,0.0158992668282025,0.013837921816591336,0.016465149189044095,0.014060612760488632,4.461509144136085,4.53962715497414,4.433923219772978,4.5384799318860285,-0.038668584,-0.008426791,-0.052091308,-0.009837378,0.4016419204423234,0.19413346590676236,0.45948174865473,0.20946544932541375,0.5763396990678754,0.5270314987850372,0.5939439403828252,0.5324409532405004,19.28573329194199,19.283370248158025,19.29473360024638,19.289102707540835,2.960853482449127,2.825083898001456,2.9976636898285953,2.8382613801908336,3.7216737061518756,3.067420870329329,3.8757789437260612,3.071666883387195,1.4167814581580132,1.426101251122077,1.4189645344268484,1.428209851301034
