ImageNumber,ObjectNumber,Metadata_cell,Metadata_hour,Metadata_site,Metadata_treatment,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Texture_AngularSecondMoment_AA_5_00_256,Texture_AngularSecondMoment_AA_5_01_256,Texture_AngularSecondMoment_AA_5_02_256,Texture_AngularSecondMoment_AA_5_03_256,Texture_Contrast_AA_5_00_256,Texture_Contrast_AA_5_01_256,Texture_Contrast_AA_5_02_256,Texture_Contrast_AA_5_03_256,Texture_Correlation_AA_5_00_256,Texture_Correlation_AA_5_01_256,Texture_Correlation_AA_5_02_256,Texture_Correlation_AA_5_03_256,Texture_DifferenceEntropy_AA_5_00_256,Texture_DifferenceEntropy_AA_5_01_256,Texture_DifferenceEntropy_AA_5_02_256,Texture_DifferenceEntropy_AA_5_03_256,Texture_DifferenceVariance_AA_5_00_256,Texture_DifferenceVariance_AA_5_01_256,Texture_DifferenceVariance_AA_5_02_256,Texture_DifferenceVariance_AA_5_03_256,Texture_Entropy_AA_5_00_256,Texture_Entropy_AA_5_01_256,Texture_Entropy_AA_5_02_256,Texture_Entropy_AA_5_03_256,Texture_InfoMeas1_AA_5_00_256,Texture_InfoMeas1_AA_5_01_256,Texture_InfoMeas1_AA_5_02_256,Texture_InfoMeas1_AA_5_03_256,Texture_InfoMeas2_AA_5_00_256,Texture_InfoMeas2_AA_5_01_256,Texture_InfoMeas2_AA_5_02_256,Texture_InfoMeas2_AA_5_03_256,Texture_InverseDifferenceMoment_AA_5_00_256,Texture_InverseDifferenceMoment_AA_5_01_256,Texture_InverseDifferenceMoment_AA_5_02_256,Texture_InverseDifferenceMoment_AA_5_03_256,Texture_SumAverage_AA_5_00_256,Texture_SumAverage_AA_5_01_256,Texture_SumAverage_AA_5_02_256,Texture_SumAverage_AA_5_03_256,Texture_SumEntropy_AA_5_00_256,Texture_SumEntropy_AA_5_01_256,Texture_SumEntropy_AA_5_02_256,Texture_SumEntropy_AA_5_03_256,Texture_SumVariance_AA_5_00_256,Texture_SumVariance_AA_5_01_256,Texture_SumVariance_AA_5_02_256,Texture_SumVariance_AA_5_03_256,Texture_Variance_AA_5_00_256,Texture_Variance_AA_5_01_256,Texture_Variance_AA_5_02_256,Texture_Variance_AA_5_03_256
1,1,A549,4,0,AFA,59026,87312,581,1422,367,1014,475.66851895774744,1216.1692982753364,1.6214203199973252,61789,0.9113073607918916,274.1427317430424,1,0.6760353674179952,0.6167432267048741,432.38523014818225,435.6971425198931,85.98837130682264,34.379936340540944,32,175.99950162583693,178.02455374294271,-16.20177715,1096.6660889654818,0.9552833028532587,0.2850307193481252,0.272779936671241,0.28982089607480593,0.2752499786070224,0.2194574105920753,0.24640470462443193,0.21323135887298655,0.24527772418752303,0.7792888624599965,0.7495783140126876,0.7862093324273145,0.7521652526456737,0.759475911773869,0.8063604836228085,0.7476141321201045,0.8051286011832548,0.08180740036902452,0.07703791139186693,0.0829676400668335,0.07727357226544869,2.359923499571384,2.406783656464938,2.3486752072973776,2.412440354001776,-0.412398209,-0.370169905,-0.422373866,-0.371925438,0.8405631342355873,0.8154016083726794,0.8459711381488549,0.817231285330066,0.8903134103113043,0.8769259556268377,0.8933843205635068,0.8776136941613905,4.909240866177657,4.933351153880425,4.8878856412823914,4.91100899731659,2.140140342128901,2.1593641720785275,2.135443848424391,2.1653055059775044,1.76918179482454,1.7215135581486685,1.7815363388375616,1.7340873713521319,0.4971598013541527,0.49197956569327594,0.49869192442763666,0.4948412738849157
1,2,A549,4,0,AFA,75209,104412,1201,1609,893,1270,1041.9738196226515,1460.8683003363958,1.26950290364873,78348,0.3713512610562856,309.4496290512995,1,0.7203099260621385,0.7877098958386461,328.4132594255078,365.0054794109261,134.03357788255897,46.72233468938057,41.593268686170845,304.25860109946154,304.9292338380956,41.26169478432813,1095.3595231414336,0.959935161076224,0.13169488256104545,0.12542010112397092,0.1384440144982115,0.12589172370733243,0.23106132781664257,0.26662738757501847,0.210433436952774,0.2597752685362198,0.9450824290087676,0.9368154395946267,0.9505063341921544,0.9381315462300829,0.7810899978706575,0.8435297168582879,0.7430999104385083,0.829637121896951,0.06502298034390108,0.06094935313190846,0.06788388500674268,0.06146958362894034,3.366684792666046,3.4496235175718506,3.3035136716095383,3.434276054129463,-0.613604593,-0.579810314,-0.639136767,-0.586382854,0.9742757964974451,0.9696377149597619,0.9772854822791952,0.9706215743344524,0.8846979884040613,0.868593625825546,0.8949298871950806,0.870789035745231,6.042695375234777,6.048601024910252,6.0129773168447205,6.0669793285563,3.133957746089664,3.174065720253341,3.0920823455103132,3.170308873054547,8.18378017540747,8.173009949914267,8.293015782984185,8.13788954145884,2.1037103758060276,2.1099093343723236,2.125862304984242,2.099416202498766
1,3,A549,4,0,AFA,37749,48509,1190,1768,919,1589,1046.7446289967945,1671.861347320459,1.2405640832405131,38116,0.7596664623689383,219.23393800734334,1,0.7781854913521202,0.8060849201662127,273.43025985291524,281.85279846047297,87.96590248499699,33.35347033933066,30,175.7867458029757,177.8152248217988,-76.91681141,767.1269837220809,0.990371497533844,0.19915035120933477,0.1861860435755956,0.19467282090933405,0.1898992752336241,0.23196939273891573,0.28809735991979507,0.24900403879440608,0.27259926003644597,0.8611941913357044,0.8229142566939186,0.8501568176562132,0.8337046866151785,0.7822227080157033,0.8731155855574589,0.8110405890663335,0.8517259473715438,0.07158895927553391,0.06422385582456296,0.06908932206225392,0.06623273429304485,2.83519270493575,2.939804411132615,2.8738890042421956,2.913197818476221,-0.499169858,-0.429264591,-0.475804332,-0.447855022,0.9210399511552323,0.894135410419901,0.9130997391342411,0.9021304079581935,0.8841455472947306,0.8575220006683748,0.8757287688545761,0.8653570048042408,6.8929017203017295,6.94939846273811,6.912520262659011,6.930007178750898,2.6021152392423934,2.643776914628867,2.6230772124962254,2.632631383032296,3.110389186791984,2.965663835546245,3.074524398063197,3.005896741899967,0.8355896448827185,0.8134402988665155,0.8308821092144001,0.8196240004841044
2,1,A549,4,1,AFA,50616,76191,1836,351,1509,118,1655.5223644697328,223.3162241188557,1.3121303265729862,52141,0.737885398328459,253.86274401005556,1,0.664330432728275,0.7621194173690001,313.3611917888712,327.96493715029965,104.80935072788114,37.814778830285,33.83784863137726,215.12675768550238,211.49562349631708,-80.58044233,913.5605332682102,0.970752382961585,0.07866629990533812,0.07014019603927478,0.07485465042657541,0.06697894847046426,0.330165214050272,0.3983492793495668,0.3542572519239799,0.46284658040665444,0.9559579711265475,0.9468758840258618,0.9528579656670028,0.9371012677237384,0.9244986950098917,1.0109438443080807,0.9598490757386227,1.0735962281067453,0.04263516805864434,0.03955685350165721,0.04151742700339191,0.03731777984893772,4.132412990144502,4.268340999429164,4.18891029866699,4.3517947338136915,-0.587674338,-0.54275404,-0.570567571,-0.508071178,0.9838211737157729,0.9789758387523899,0.9821948618871411,0.9738515111241363,0.8367859092839377,0.8108775099577054,0.82818707003899,0.7865434380776339,9.332126751734041,9.382704389602926,9.36313715883806,9.419429040870815,3.7925481899139952,3.833855319058993,3.8114532226148867,3.839111780464394,14.663022997098523,14.598579028821888,14.675100599780137,14.25435243637989,3.748297052787194,3.749232077042876,3.7573394629260264,3.6792997541966344
2,2,A549,4,1,AFA,36888,53108,1910,428,1626,241,1786.1277380177835,346.81264909997833,1.4107888266145763,37841,0.797389245289541,216.7193123055504,1,0.6945846200195828,0.7088233058945237,288.26226894801397,285.2595309538316,82.63776376451628,30.13306895118013,27.294688127912362,184.5529363891453,173.95628214866733,-79.19450115,808.6833329081849,0.9748156761184958,0.3529008925165337,0.3506313404981822,0.35297456199873817,0.3454624332042611,0.12257956821722679,0.14317558299039781,0.13228825983985562,0.15528549930435276,0.8521265075493424,0.819602206662293,0.8363085640219657,0.8038301310560335,0.5367305784362328,0.5924953373828336,0.5636805156002861,0.6229107156443793,0.116978472930838,0.11092946582969698,0.11408476954064062,0.1075312347959398,2.0068911108431684,2.035077942630294,2.0154205440991975,2.068952126432684,-0.57393195,-0.521867331,-0.549352998,-0.496228555,0.8950890141607659,0.8731329530619163,0.8847013279966968,0.8629819661482171,0.9387102158913867,0.928412208504801,0.9338558700800722,0.9223572503478237,4.250778989539284,4.260802469135802,4.256230968760573,4.298219710951476,1.8843115426259411,1.8919023596398965,1.8831322842593414,1.9136666271283311,1.5353182224652961,1.4441562833409556,1.4840242741599212,1.4278883096020998,0.4144744476706341,0.3968329665828385,0.4040781334999428,0.39579345222661466
3,1,A549,4,10,AFA,72961,145824,1055,890,719,456,928.3061224489796,697.0867175614369,1.8371713505035772,83602,0.8452887963541345,304.78981351649895,1,0.5003360215053764,0.5443150415588047,447.5987939055874,463.15979963723106,107.42439201596628,37.37255404373021,33.1058907144937,263.9576209349353,239.15637530000916,-25.1858217,1297.8519471906084,0.8727183560201909,0.18123146823799618,0.16455796934964484,0.18894564956276066,0.18002069566843443,0.18094497100014148,0.22464403224184254,0.1609277857484457,0.18490405721164055,0.9423034747475755,0.9283267096932554,0.9486444822158335,0.9409611923927661,0.6826457391868134,0.7714122771896844,0.6367150993674985,0.6909904996048163,0.08953666582922139,0.08113174054174661,0.0938964494855332,0.08867486895300519,2.9274895895264628,3.0530874196779996,2.8654702856962895,2.938968697012419,-0.63113066,-0.57811783,-0.658456953,-0.626651891,0.965795312505758,0.9573304028965225,0.9695190389168954,0.9651833322697131,0.9096293676616213,0.8884366154686131,0.9195698652488256,0.9075989520640091,4.668312349695855,4.706834868317074,4.656075055560244,4.673412164554273,2.745690449498112,2.8239703351782346,2.70423091799172,2.7535919193434877,6.091355491064071,6.043912393182964,6.106277480286714,6.078910023917732,1.5680751155160522,1.5671391063562057,1.5668013165087897,1.565953520282342
3,2,A549,4,10,AFA,48266,61978,1960,1333,1694,1100,1826.4143082086769,1215.4298470973356,1.1843578927356935,48587,0.7009608823001331,247.89953583294053,1,0.7787602052341154,0.844339372527122,294.35025428318426,303.81902507907563,105.3612832116238,38.855241221417295,34.88552708502482,210.5567375598031,209.93051911766034,-57.38248358,847.5533905932737,0.9933932945026447,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4,1,A549,4,11,AFA,59969,122130,2048,819,1703,465,1865.8590771898814,636.4317063816305,1.669047518820021,64761,0.8484800862195236,276.3239082276866,1,0.4910259559485794,0.599144115864944,403.2516276844477,414.40197875975446,104.5609869884557,35.575928149930014,31.622776601683793,225.0110036490868,213.41177327309254,-51.40521479,1121.5088014401008,0.9260048485971495,0.19911737262946402,0.18661294315245874,0.19741976476339018,0.19181481944543452,0.19751219847433168,0.24729788911272663,0.20693621770109022,0.21382385730211817,0.882702117204179,0.8482202685229895,0.8759988823368081,0.8741097104666217,0.7170767721785681,0.8091735969584944,0.7355854710788003,0.7490171268403548,0.08606444309835871,0.07699786053987333,0.08418434905400317,0.08287167702509815,2.7266339910079243,2.825643904991689,2.7448892345932734,2.7749574193528592,-0.543732456,-0.474405173,-0.530296077,-0.521669555,0.9324506972280361,0.9096692651142461,0.9284626576162637,0.9267802762048731,0.9012645179025497,0.8767925024086888,0.896531891149455,0.8931292341994684,5.617620782076832,5.672400805815889,5.622130654991844,5.608935768801989,2.528915927699473,2.575267537780879,2.5379530168921827,2.5607360937730292,3.170190504534098,3.011343916432736,3.1307146293367047,3.1831634416337344,0.8419256757521012,0.8146604513863682,0.8344127117594446,0.8492468247339584
4,2,A549,4,11,AFA,68252,104331,1707,718,1288,469,1518.6403475356033,610.6768006798336,1.4643727943029279,71891,0.8185154195172538,294.79000221728063,1,0.6541871543453048,0.6828862185165226,399.78879445276453,418.26905216618644,112.16059914247963,40.40193331077719,36.6742416417845,247.69706368607862,229.67248909446982,-82.46166297,1120.697618258058,0.9493817028557121,0.5195479716170965,0.5127783999043801,0.520072784830916,0.5165878940657325,0.09275284341418942,0.11359910128734516,0.10254549851865287,0.10913586239325315,0.7685493370683923,0.7092810400335315,0.7385300390628634,0.7204639880744037,0.4455923076669739,0.5106773870020738,0.47701308618327,0.4973039435678066,0.1454251232736139,0.13715282726297368,0.14148504037389306,0.13888738703353298,1.2986196176263758,1.3429914195063666,1.3137446643296589,1.3298781010306229,-0.495092089,-0.415520827,-0.454028974,-0.430016671,0.7579472142562387,0.7110463917815151,0.733316158433047,0.7192841228532361,0.9536235782929053,0.9432004493563273,0.9487272507406734,0.9454320688033736,3.465363404026364,3.4866559387903817,3.4836144869701915,3.4873268918652456,1.2058667742121862,1.2293923182190216,1.2111991658110062,1.2207422386373696,0.7087384311352931,0.6679054920178018,0.6818314000827712,0.671699935051695,0.2003728186373701,0.19537614832628725,0.19609422465035564,0.19520894936123767
5,1,A549,4,12,AFA,57111,108528,527,489,51,261,244.24123198683267,382.74293918859763,1.9864940321493034,65644,0.8844497943584517,269.65901364384223,1,0.5262328615656789,0.5033994483829592,416.78965309862315,495.485620376616,104.20172743289815,35.73251970969189,30.4138126514911,208.76344078440744,194.48879073657076,70.59063893189983,1194.0113267570425,0.8700109682530011,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
