ImageNumber,ObjectNumber,Metadata_cell,Metadata_hour,Metadata_site,Metadata_treatment,Metadata_treatment,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Texture_AngularSecondMoment_BF1_5_00_256,Texture_AngularSecondMoment_BF1_5_01_256,Texture_AngularSecondMoment_BF1_5_02_256,Texture_AngularSecondMoment_BF1_5_03_256,Texture_Contrast_BF1_5_00_256,Texture_Contrast_BF1_5_01_256,Texture_Contrast_BF1_5_02_256,Texture_Contrast_BF1_5_03_256,Texture_Correlation_BF1_5_00_256,Texture_Correlation_BF1_5_01_256,Texture_Correlation_BF1_5_02_256,Texture_Correlation_BF1_5_03_256,Texture_DifferenceEntropy_BF1_5_00_256,Texture_DifferenceEntropy_BF1_5_01_256,Texture_DifferenceEntropy_BF1_5_02_256,Texture_DifferenceEntropy_BF1_5_03_256,Texture_DifferenceVariance_BF1_5_00_256,Texture_DifferenceVariance_BF1_5_01_256,Texture_DifferenceVariance_BF1_5_02_256,Texture_DifferenceVariance_BF1_5_03_256,Texture_Entropy_BF1_5_00_256,Texture_Entropy_BF1_5_01_256,Texture_Entropy_BF1_5_02_256,Texture_Entropy_BF1_5_03_256,Texture_InfoMeas1_BF1_5_00_256,Texture_InfoMeas1_BF1_5_01_256,Texture_InfoMeas1_BF1_5_02_256,Texture_InfoMeas1_BF1_5_03_256,Texture_InfoMeas2_BF1_5_00_256,Texture_InfoMeas2_BF1_5_01_256,Texture_InfoMeas2_BF1_5_02_256,Texture_InfoMeas2_BF1_5_03_256,Texture_InverseDifferenceMoment_BF1_5_00_256,Texture_InverseDifferenceMoment_BF1_5_01_256,Texture_InverseDifferenceMoment_BF1_5_02_256,Texture_InverseDifferenceMoment_BF1_5_03_256,Texture_SumAverage_BF1_5_00_256,Texture_SumAverage_BF1_5_01_256,Texture_SumAverage_BF1_5_02_256,Texture_SumAverage_BF1_5_03_256,Texture_SumEntropy_BF1_5_00_256,Texture_SumEntropy_BF1_5_01_256,Texture_SumEntropy_BF1_5_02_256,Texture_SumEntropy_BF1_5_03_256,Texture_SumVariance_BF1_5_00_256,Texture_SumVariance_BF1_5_01_256,Texture_SumVariance_BF1_5_02_256,Texture_SumVariance_BF1_5_03_256,Texture_Variance_BF1_5_00_256,Texture_Variance_BF1_5_01_256,Texture_Variance_BF1_5_02_256,Texture_Variance_BF1_5_03_256
2,1,MCF7,0,1,0.5xroi,0.5xroi,35026,51525,1378,1592,1149,1367,1269.855592988066,1466.5522183520814,1.214684931151848,35511,0.26656322575203706,211.1788064505854,1,0.6797865114022319,0.8232587515939059,217.19348321620032,229.47766775876036,97.6165969494942,33.703496450960884,29.782502637494805,200.53956863140638,209.3348657419249,51.22092526455201,731.193000900063,0.9863422601447439,0.29135913289634524,0.2628576685230564,0.29126328105620025,0.2758670119263391,0.36034920073143395,0.4949253731343284,0.35983473513354,0.431628906599803,0.4132859632632693,0.20334591331456353,0.4157226309912867,0.3003657296460257,0.9825711183787389,1.1295761324130913,0.982763109970985,1.0671131804538956,0.07088211098536837,0.05932985555803076,0.07096320186003538,0.06418857817872439,2.2252267186707178,2.3386980098749843,2.2275102665851643,2.2938126169268673,-0.11915165,-0.03570575,-0.120003792,-0.066220099,0.4956592014014281,0.28549732024686464,0.4975075507736165,0.3812869209296149,0.8342653217719579,0.7895044776119402,0.834637745315036,0.8103340198800036,3.475962956408895,3.4668059701492537,3.4727165412424377,3.475955941613684,1.8242679276599487,1.777768768577536,1.8237457667004453,1.8035878963183447,0.8680148000198589,0.7475847235464457,0.8718909972665969,0.802241202082616,0.307091000187822,0.31062752417019324,0.307931433100034,0.3084675271706052
2,2,MCF7,0,1,0.5xroi,0.5xroi,33316,50621,1242,1666,1015,1443,1119.1194621203026,1559.924330651939,1.2431755814497323,34141,0.4108715780616982,205.95933742463993,1,0.6581458288062266,0.8043916039871435,217.82820505633165,232.47580519271247,91.92388155425118,32.37790769530931,28.618170709351446,193.82850511670807,198.59249993811756,43.85406628775827,721.4356415871823,0.9758355056969626,0.3311568250021148,0.29924314016089915,0.32283473793789874,0.3053062934316969,0.3402253888423209,0.4685705319315864,0.35110448317643767,0.41905840886203427,0.424252142826004,0.21613702074496655,0.40792341412024347,0.29552998805850184,0.9583065152358318,1.1080828491902177,0.9726257341655407,1.0549121625057296,0.06819240175403163,0.057668912625035755,0.0661671240023895,0.060478489310622496,2.149539481593075,2.2707558592363006,2.172041079093748,2.236314474710095,-0.133998538,-0.04226286,-0.118497019,-0.066090579,0.5153765334460828,0.3055940065325733,0.4892405144298861,0.3764861326293389,0.8479797730771549,0.8047581248096289,0.840479075403113,0.8172412771755228,3.5789947533451314,3.574172289345677,3.577562369900892,3.5760322255790538,1.7724541761372548,1.7435149883395675,1.785272656143685,1.7719782636912627,0.8416301217010727,0.7269714041779842,0.8349058795023581,0.7706541459907115,0.2954638776358496,0.29888548402739135,0.2965025906696992,0.29742813871318763
3,1,MCF7,0,2,0.5xroi,0.5xroi,23995,30625,757,577,582,402,668.9540737653678,487.7641591998333,1.1089477092372664,24180,0.10119264474056729,174.78953880573124,1,0.7835102040816326,0.9017557741183302,175.30649356852908,176.3887751530692,85.14693182963201,29.20281520990035,25.709920264364882,173.54436625492494,174.4066189900976,42.43370039622757,578.2569260369921,0.9923490488006617,0.17924470810484788,0.1712122136390733,0.18214789356868333,0.17278691198011484,0.6967993079584776,0.870738137082601,0.6699826989619376,0.8526968218383226,0.27762240287062706,0.10083731402485735,0.3070069822497497,0.11579792680093517,1.2808284507298842,1.3915524433385382,1.2681237082494625,1.3824616994064183,0.04384477055629906,0.039929665300474544,0.044496600848766145,0.04024545959026458,2.8690787483683104,2.927316361076819,2.8563639204469724,2.9201463629083158,-0.043487394,-0.008255494,-0.053677613,-0.01035933,0.3460398101887038,0.15483714413234198,0.38179444308072225,0.17306236930113528,0.7338848658973838,0.6984520354038601,0.7431075717484226,0.7026844400101919,3.6126297577854665,3.6227592267135327,3.608737024221454,3.630665084179524,2.140840036695288,2.0594832624419674,2.15056386668314,2.0656938393082047,1.2323837418134396,1.066037377880594,1.2636087855150162,1.0760406188085838,0.48229576244297956,0.48419387874079955,0.48339787111923993,0.48218436016172594
3,2,MCF7,0,2,0.5xroi,0.5xroi,25973,32524,476,602,288,429,381.76013552535323,515.5061409925692,1.1017785588021864,26141,0.3774837481622013,181.85117732752346,1,0.7985795105153117,0.9076233985594742,188.99857999196425,188.2471779336944,87,30.34405962445232,26.832815729997478,172,175.01574860592248,-88.64462467,599.6711395993652,0.9935733139512642,0.23253774298820715,0.21957804821140364,0.2347120967023485,0.22435298519474967,0.5466385215867452,0.6939098018558288,0.5195142412016138,0.6071804846421914,0.31768967025199696,0.13441100091300648,0.35570797360059414,0.24687811427050002,1.1724257387678394,1.292429928462172,1.1474243333115854,1.2240133521567083,0.0458679068793372,0.04109767035770372,0.04695927706171272,0.04367462732376509,2.5899344635596973,2.658093408786753,2.57666484457371,2.6327297416343307,-0.071487264,-0.021812869,-0.087167206,-0.045992023,0.4179734206695434,0.2386103825132654,0.4574923130050261,0.3414122942089156,0.7871283115763432,0.7503240514900822,0.7946842065257522,0.770425157476258,3.578580532101322,3.5905425665545607,3.571885111652618,3.583920901207553,2.0049253117594086,1.9333503721241172,2.0183566405041837,1.9864605198034586,1.0556778958962916,0.9094141835177201,1.093152748035843,1.0052556857767723,0.4005791043707583,0.4008309963433865,0.40316674730936297,0.40310904260473945
3,3,MCF7,0,2,0.5xroi,0.5xroi,22925,29580,1646,722,1476,548,1557.9566848418756,636.212213740458,1.1084315859251241,23083,0.2595209855839028,170.8479340321492,1,0.7750169033130494,0.9021756621680674,174.0911635710696,175.2512482123879,82.00609733428362,28.415812438410455,25,167.58430714121175,168.12635959325047,27.40544246257142,565.0853531617383,0.9931551358142355,0.21833052619168264,0.21248597656835222,0.22545955118002176,0.21501582641381217,0.6640217637723872,0.7915804002760525,0.6166251415628538,0.7140552995391707,0.16927421021011338,0.013572254503690819,0.22388523863300838,0.11032826368540796,1.265360602414493,1.3585845836999013,1.2350737269346082,1.3065330575964809,0.045700375843072974,0.04169013306783769,0.047128841141029505,0.04377736201660685,2.6201404506847497,2.652427787522966,2.597268452172712,2.6435313210908395,-0.028339082,-0.008243817,-0.04019925,-0.015063735,0.26935662461227766,0.14736804656433994,0.3179147206970067,0.19831632636279237,0.7577206100339442,0.7273369370044562,0.7697402212736301,0.7439390495652356,3.4782588982090226,3.484380032206119,3.4874745186862968,3.484930875576037,1.9445442678152154,1.8605761105133563,1.9553514253873714,1.9140981345448398,0.934632742765416,0.8133631019523389,0.9723799186598718,0.8911554099683574,0.39966362663445043,0.4012358755570977,0.397251265055683,0.4013026773768811
3,4,MCF7,0,2,0.5xroi,0.5xroi,29920,38352,1815,908,1627,704,1720.4310828877005,804.7976270053476,1.1114397373491285,30115,0.4358888972805132,195.1802427974616,1,0.7801418439716312,0.8997338914524318,205.75343050987144,206.60348496576722,92.9623579735368,32.476057323217596,28.635642126552707,185.82456573545176,185.17818681805548,-20.10914224,646.4406922210657,0.9935248215175162,0.3025602842398918,0.2805213359494444,0.3028696958374473,0.28886179021235686,0.5204844290657439,0.6385466034755135,0.475327812284334,0.5425922686723806,0.21747252665121258,0.05079981293390183,0.2837997027425959,0.19121732979606879,1.1469916387084917,1.2529482425667973,1.1102469393270862,1.175884666782212,0.059515151744937066,0.0521014300809243,0.06066750460365248,0.05634430886403338,2.3055577157845404,2.3707883689090354,2.2954783264602403,2.3458727123689607,-0.073680744,-0.031865,-0.07971416,-0.049526328,0.40211271532219206,0.2718374071487348,0.41655578003146343,0.33512666111324635,0.8152090372481173,0.7806430629123686,0.8197395769902164,0.8010750187778453,3.540899653979239,3.5352290679304894,3.5419944789510014,3.5366101101976564,1.7620098404983393,1.7253890192162842,1.7876413729373166,1.7768768452668544,0.8097805055016103,0.7068947737522127,0.8520321849246564,0.7991582130375381,0.3325662336418391,0.3363603443069314,0.33183999930224894,0.3354376204274807
3,5,MCF7,0,2,0.5xroi,0.5xroi,31586,41356,1622,1932,1426,1721,1523.7205724054961,1827.798360032926,1.1191099962665527,31794,0.4782353790081781,200.54062994816,1,0.7637585840023213,0.8935672126386915,214.07698799118208,215.24404753674375,93.86160024205851,33.18132929670427,29.274562336608895,188.18717215768422,188.00919750633008,-30.18167469,666.4823227814082,0.9934578851355602,0.4499719689155803,0.43170450826647994,0.45244922236893304,0.44363990522027297,0.3247518915200944,0.38160911900568273,0.3201333071946677,0.3474495024628914,0.1513391438478435,0.013170850190760659,0.16064602897681227,0.09447959834845483,0.9379044715956765,1.0119894528568338,0.931552008977361,0.969580485682529,0.07735748499364034,0.07022665144026179,0.07807020330942957,0.0746228927208652,1.6949159250006316,1.7262987637086518,1.6892862792534677,1.7085402414501625,-0.035903068,-0.014297424,-0.037946832,-0.024120225,0.24512091486551982,0.15669361306085905,0.25150297385107157,0.2021272141938108,0.8543283875405325,0.8325645541856369,0.8563222897471087,0.846427981090284,3.638957125544528,3.6346083546575385,3.6405933477095993,3.6385996231280373,1.325575681165381,1.2901778242850173,1.3258478946315426,1.3114506306171312,0.4405759521429857,0.39179551558471637,0.4426755154154609,0.4199534225936645,0.1913319609157691,0.1933511586475989,0.19070220565253182,0.19185073126413865
4,1,MCF7,0,3,0.5xroi,0.5xroi,30543,38612,734,1092,538,895,636.7362734505451,991.9947287430836,1.1074247667035777,30834,0.12716610768264294,197.2018139238229,1,0.7910235160053869,0.9029958784258146,198.13300520505715,201.93315725754402,95.81753492967766,32.79739234769908,29,194.98512763798166,196.52444951957827,15.124990039419412,651.9554108468271,0.9905623662191088,0.28225320944267807,0.2622795241059181,0.2819825637709483,0.24680133946988603,0.3125718925502402,0.39028240057646774,0.3205696309576159,0.45274212368728123,0.5603300490395182,0.4513488388567978,0.5476734942444841,0.37023188313678196,0.9191346827492687,1.0223437393459434,0.9319156338702366,1.0913020462887997,0.06970999076443633,0.06252250216011836,0.06909802988992521,0.05793514703340478,2.2874871636685166,2.3825672791637733,2.2910691888816572,2.449352612474159,-0.210430701,-0.136924335,-0.204906457,-0.094665729,0.6450280540688601,0.5435605270783284,0.6381891382405839,0.46479497912971157,0.8532952161851275,0.826105754383557,0.8512025166593378,0.8055460223762784,3.492827660870154,3.498473046700752,3.4963636978655757,3.488708902464136,1.9441560414738859,1.9456660569795385,1.9406935434072845,1.9405304362049998,1.1092759815990387,1.0324154016600247,1.096856174864545,0.9850636704273033,0.3554619685373206,0.3556744505591243,0.35435645145553973,0.35945144852864575
4,2,MCF7,0,3,0.5xroi,0.5xroi,39903,49629,1232,1560,999,1347,1117.8347242062,1451.7632508833922,1.1157948381396052,40121,0.384854363968997,225.40203538026714,1,0.8040258719700175,0.8962221062676066,235.07530720405393,235.4591259645716,106,37.17439507631848,32.984845004941285,212,216.96917516933894,87.21230836766244,747.9970414071697,0.9945664365294983,0.3454933165160408,0.3378928272946725,0.3529426386382142,0.3334258957479275,0.42692723621195733,0.5217822816548267,0.4352057411327379,0.5460105062331756,0.23874150341443393,0.0719608861014198,0.21987379927035205,0.033056418432418064,1.0632479113408926,1.1598921723414655,1.0699748711007215,1.1780591479479792,0.06178442285567228,0.056514645505976846,0.0624670307755584,0.055512580514690414,2.1325748149417385,2.1662361458115353,2.1211224464499012,2.1754292703437805,-0.050559446,-0.022716544,-0.05451927,-0.019705371,0.32360392143100036,0.22035491937906423,0.3347956021343297,0.2058406915270224,0.8236589089521178,0.8013049703792927,0.8266928961682252,0.79638569590343,3.620552036665122,3.6241119933138317,3.6263358975682785,3.6204688602566453,1.6671410979564492,1.5963013091028078,1.6436548634874235,1.5903906072932397,0.6947081560413491,0.6027011023760096,0.680525894917162,0.5833428844744741,0.2804088480633271,0.28112084600770926,0.2789329090124735,0.2823383476769141
5,1,MCF7,0,4,0.5xroi,0.5xroi,23253,29406,1081,1140,912,966,994.6532490431342,1052.197049843031,1.1123354039057873,23434,0.39244153635314494,172.06579884952947,1,0.7907569883697204,0.8990094143265246,179.48277543166188,181.23189564753773,82.80096617793781,28.63350488973174,25.238858928247925,165.9162439304844,165.08412003662502,-39.60181667,570.1147904132612,0.9922761799095332,0.336768316373778,0.3311066742815723,0.33518620219470757,0.31777075727736465,0.4734843407943529,0.5611432212260502,0.4878614780435558,0.5821551567881095,0.20690300373136744,0.05818739496006798,0.17983363809024286,0.035293468922066036,1.1145699683393946,1.1991416296653827,1.1294044889537043,1.2113955926553772,0.05690452531969269,0.052939983980598175,0.05627499799640023,0.05126201244466944,2.284073349358791,2.3069708700965803,2.2866978374050695,2.3324076948374977,-0.030678965,-0.007881205,-0.024038554,-0.002042847,0.2620905309282789,0.13449182864531323,0.23263312603093378,0.06898019158291133,0.8013224322030115,0.7829973148864515,0.7984826847554447,0.7705319920246511,3.9393289550104997,3.9458426250398215,3.941003213138165,3.9413177451513506,1.7400625904372726,1.6743089796728212,1.7354655271476593,1.6776614179914113,0.7205293625029796,0.6304807137758814,0.7018032063445503,0.6247510639827354,0.2985034258243324,0.29790598375048205,0.29741617109702556,0.30172655519270997
